store,item,date,dow,month,is_holiday,promo,units
0,0,2024-09-01,6,9,0,0,230
0,0,2024-09-02,0,9,0,0,164
0,0,2024-09-03,1,9,0,0,170
0,0,2024-09-04,2,9,0,0,161
0,0,2024-09-05,3,9,0,0,165
0,0,2024-09-06,4,9,0,0,169
0,0,2024-09-07,5,9,0,0,185
0,0,2024-09-08,6,9,0,0,207
0,0,2024-09-09,0,9,0,0,154
0,0,2024-09-10,1,9,0,0,151
0,0,2024-09-11,2,9,0,0,156
0,0,2024-09-12,3,9,0,0,182
0,0,2024-09-13,4,9,0,0,148
0,0,2024-09-14,5,9,0,0,232
0,0,2024-09-15,6,9,0,0,181
0,0,2024-09-16,0,9,0,0,156
0,0,2024-09-17,1,9,0,0,163
0,0,2024-09-18,2,9,0,0,169
0,0,2024-09-19,3,9,0,0,171
0,0,2024-09-20,4,9,0,0,172
0,0,2024-09-21,5,9,0,0,207
0,0,2024-09-22,6,9,0,0,204
0,0,2024-09-23,0,9,0,0,173
0,0,2024-09-24,1,9,0,0,158
0,0,2024-09-25,2,9,0,0,142
0,0,2024-09-26,3,9,0,0,144
0,0,2024-09-27,4,9,0,0,147
0,0,2024-09-28,5,9,0,0,223
0,0,2024-09-29,6,9,0,0,216
0,0,2024-09-30,0,9,0,0,170
0,0,2024-10-01,1,10,0,0,157
0,0,2024-10-02,2,10,0,0,166
0,0,2024-10-03,3,10,0,0,173
0,0,2024-10-04,4,10,0,0,159
0,0,2024-10-05,5,10,0,0,225
0,0,2024-10-06,6,10,0,0,203
0,0,2024-10-07,0,10,0,0,158
0,0,2024-10-08,1,10,0,0,158
0,0,2024-10-09,2,10,0,0,146
0,0,2024-10-10,3,10,0,0,171
0,0,2024-10-11,4,10,0,0,157
0,0,2024-10-12,5,10,0,0,216
0,0,2024-10-13,6,10,0,0,225
0,0,2024-10-14,0,10,0,0,170
0,0,2024-10-15,1,10,0,0,173
0,0,2024-10-16,2,10,0,1,243
0,0,2024-10-17,3,10,0,0,157
0,0,2024-10-18,4,10,0,0,162
0,0,2024-10-19,5,10,0,0,184
0,0,2024-10-20,6,10,0,1,260
0,0,2024-10-21,0,10,0,0,144
0,0,2024-10-22,1,10,0,0,149
0,0,2024-10-23,2,10,0,0,169
0,0,2024-10-24,3,10,0,0,150
0,0,2024-10-25,4,10,0,0,158
0,0,2024-10-26,5,10,0,0,241
0,0,2024-10-27,6,10,0,0,209
0,0,2024-10-28,0,10,0,0,174
0,0,2024-10-29,1,10,0,0,150
0,0,2024-10-30,2,10,0,0,160
0,0,2024-10-31,3,10,0,0,150
0,0,2024-11-01,4,11,0,0,166
0,0,2024-11-02,5,11,0,0,241
0,0,2024-11-03,6,11,0,0,190
0,0,2024-11-04,0,11,0,0,178
0,0,2024-11-05,1,11,0,1,259
0,0,2024-11-06,2,11,0,0,162
0,0,2024-11-07,3,11,0,0,149
0,0,2024-11-08,4,11,0,0,173
0,0,2024-11-09,5,11,0,0,214
0,0,2024-11-10,6,11,0,0,229
0,0,2024-11-11,0,11,0,0,172
0,0,2024-11-12,1,11,0,0,196
0,0,2024-11-13,2,11,0,0,168
0,0,2024-11-14,3,11,0,0,156
0,0,2024-11-15,4,11,0,0,174
0,0,2024-11-16,5,11,0,0,229
0,0,2024-11-17,6,11,0,0,252
0,0,2024-11-18,0,11,0,0,184
0,0,2024-11-19,1,11,0,0,177
0,0,2024-11-20,2,11,0,0,194
